16 0.967 ..o..........xxo|...x.o.###.........
17 0.8137 #|#.#..x.#..o...#oo.....x....x......
24 0.7417 ..#..#....x.o..o..#.|x..#..x..#o#...
17 0.682 ......o..x....|...#x..#.oxo....#....
22 0.8753 ox.o...|.#..x.#..#..x....o..........
21 0.7342 ....o#o..x..x#.#....x..o#..........|
17 0.6489 ####..###|.o....#.ox..#...x.....xo..
22 0.7418 .xo.o..x.......x..........o.......|.
18 0.9784 ..........x.ox.xo...#.....#..o.|....
10 0.9995 ...##o.....x##o.x.........x##.#.o..|
24 0.869 ..#..#..##.....x.....x.|x#.o..o##o..
18 0.9496 ..|....x.x...o.......#.o.x.#..o...#.
18 0.9815 ...o..o.....x.xx......|........##.#o
22 0.8024 ...##oo.o.#...xx..x...#...#....#.|..
26 0.8323 .#o|#..x...o.......o....##.xx.......
28 0.9292 ....o|...#......o..x.x...#..x....o#.
27 0.7847 .........x.|.oo.......x.o#..x.......
20 0.7612 ...o........#xo.x...#.x...#o.#.|....
22 0.802 ..#....x..........oo.x.|.x...o......
18 0.7231 o...xo#|...#..#x.......#..x..#...o..
20 0.7766 .......o...o.....|.ox.x..x..........
21 0.7277 .......x......|..o...o......x...xo.#
31 0.7122 .....|#x....oo...#.#.#x.......o...x.
11 0.9178 #..##.o.|x.#x...xoo...#..##....#..##
17 0.9758 .......o...xo.....x.x..o.......|#...
20 0.9886 .o..x.........o....x..|...x.......o.
18 0.9537 ..........x.|o#o...x..x..o.......#..
18 0.783 ........o...x#....o.x|x............o
30 0.6682 ...o............|.....o.#.x.x...xo#.
23 0.8803 ..o.....x..|..#....#.xo...........xo
22 0.87 ....#....xx.|o....#.x.o.........o...
24 0.8031 ...o..#xx|x..o................o#.#..
22 0.91 o....#.|.x...x..##...x....o.......o#
21 0.7614 ..x..o..#.|.#o.....x.#.....ox.......
21 0.9509 o......o....|.....xx.....x..o.......
27 0.9785 ..x.o.....x.o....|.......o.#x...##..
13 0.9624 ...........x|.......xo.o....xo......
14 0.9474 ...#.#ox..##.......#o...|x......x..o
19 0.9833 ........#.x.|........xo.....#...x.oo
14 0.8924 ........o......xx.........x.o.|..o..
23 0.8894 ........x...x.x.#.o...........#|o..o
26 0.966 .x.o.....x.........o.|x...#...o.....
20 0.7085 ...|o...x#.....x..##........o.o..x..
29 0.6775 ......o...#...xx|#..#...xo...#.o....
20 0.7661 ....o..x...#.x.......#ox.|.........o
18 0.877 ....o.....xo.x...#.x.....|.......o..
24 0.8171 .xo|o...........o...#x......x.......
23 0.9546 ..o.o.o..|....x..#x.......x..#......
20 0.9466 o....o......x.x......|.......x...o..
22 0.9281 ....o..........x..xx..........o..#|o
23 0.8632 .......x..x.|#.....o...o...x...o....
18 0.9182 .o....o.......x#....x......#|.ox....
23 0.9933 ...oo..xx..o.......#.........x.|....
37 0.8673 .#........#o.x#.x.#...ox......|#o...
24 0.74 #..o###...x|##..###...#.##x.##oox..#
25 0.5738 .#.....#oo|.....x...o..#.x#x..#....#
23 0.7526 ....|........x...##xo...#.....oox...
19 0.912 o......#.x|......x...#oo.#.#x......#
24 0.9096 o........o|....x......x..#.x#..o....
18 0.9783 .........ox..........#|..xx.o....o..
16 0.9394 o.......#x.....x|...###...xo..o...#.
20 0.9818 .o.......|...o..x......x.x...o......
21 0.7146 .......#.o.....|x...o.x.#x........o.
28 0.6222 .....o.#...|o.x..ox......x.......#.#
23 0.6848 ##..o.....x....#x..#.ox.......#o.|..
26 0.6376 #.o.....#.x..o#..o..x...|...x....#.#
12 0.9886 .o..o..x#........#|.xx....o......#..
39 0.688 .......#..#|.xx...#..##o#....#.ox..o
21 0.7191 .....|..x..#..x..o.#.ox.o#..........
13 0.7467 .|.....x..#...xox..o.o..............
21 0.7356 ..#...#.#...#..xx..x.|....o....o..o.
28 0.6971 ..|.....#..o.xx..#....oo.#x.........
17 0.9261 ..#ox.#.....#o...#..x.|...x.o.#....#
18 0.7678 ......oox.x....o...x....#....#.|..#.
21 0.986 o...#oo....x..x.....|...x...........
24 0.9278 ...#o...xx...|.................x.o.o
22 0.8016 ...|.......o....xo.xo....x..........
24 0.6596 .x.o.#......#xo...o......x.....|#...
20 0.6509 ....|..x......x#.o#......x.o.##o....
15 0.7656 ......|.x..o#..#x...x.oo............
25 0.9228 o.x....o....|...x..o........x.......
22 0.9736 ...o..o.o.x...|.....x....x..#.......
22 0.7167 .........x.oo.....|#...x...xo.....#.
17 0.772 ....#......|.x......x#..o..o#.##..xo
18 0.9472 ..........x..o........|.x...#.o.x..o
21 0.7332 ......o..#.#.o..x..........x.x..|..o
16 0.9117 o.o..#x..##...x.....o..#|#x#.#......
18 0.6738 o..#...x.ox...#x.........#o..|#.....
18 0.9901 .o..........ox.....x....|......o..x.
18 0.9633 ...#.oo......x.......xx|....o....#..
14 0.9933 ..ox|..#......xo..o.....x.........#.
27 0.699 .....o.|.#....ox.#x.....o..x#......#
19 0.8202 #.....o..........oo....xx..x....|...
25 0.6728 ...#...#o#...|.xxo.....#.x.......o..
26 0.589 .#.....#...o.#.xxx.......o....|o....
15 0.9749 |......xxxo..o.........o............
18 0.5851 .#o.##o........x.o.#..x.x....#|#...#
20 0.7461 .ox.o..#.x|.#...#.##..x............o
15 0.9807 ......x#.ox....|..o..x.o..#.........
22 0.7175 ..o.#..x..#o#..x...#..x....#....|o..
13 0.9536 ..o.##..x..o....|x...x..#..........o
23 0.9189 ..#....x.....|.x.oo.......o#.x......
19 0.9315 ......o..xoo|x............x.....##..
23 0.6036 ...#..o.x.x...o.#.|..o..##.x..#.....
17 0.8319 ..o..|..........x.#.x..x.#...o.....o
20 0.9938 ........oxx.#o..........o...x.#..#.|
13 0.9596 .........o..|.x............x.x....oo
22 0.9065 #..xo.#..x..#...x....|.....#.#o...o.
26 0.6737 ..#..#..x.......x#....o.##.|###.o.xo
13 0.9072 ..#............x.o.|.x.....x...o..o.
18 0.993 o.x..|.......x.............o.....ox.
20 0.7178 ........x....ox........|#.xo..#...o#
20 0.7487 ......#..o..#......xx..#.|x.o..#..o#
22 0.9238 .....|.......xx...#.xo.....#o.o....#
23 0.8514 |..o#......o........x...#..x....x.o.
16 0.993 ..ox........o|.....x..x.....o.......
17 0.6774 .o#..........|.xo...x.x...o.........
22 0.7529 #|#.o#....x..#.x...x..........#o...o
21 0.8285 o##..#ox..o.x...x.....#.#|....#.....
20 0.9683 .....|o..#.....x....o....xx.o......#
16 0.9789 |.......x...o..x...xo#..........o...
18 0.8845 ....o..x......#...o|.x....ox........
17 0.7016 ..xo.#..##......x..o.x..#|..o.#.....
20 0.9643 #|.........o..x...xx....o#.........o
18 0.9359 o.x....xx.#.o....#.......o...#..|...
14 0.9894 ..#...ox..x......|..........ox..#..o
20 0.8494 o..#..o......x...o.xx..........|....
25 0.8403 .xo...o..o..|.x##...........x.....#.
16 0.9763 ....|.o..o...x....o.x....#.x........
10 0.9862 .....o.ox....#.#x..#.o.....x.....|#.
17 0.9558 ........xo.x.o......|.x......o......
26 0.6395 ........x#.....o..#....x..x.#|.#.o#o
20 0.9794 .................x..x.....ox..|o...o
13 0.9963 ....##o..x..o.x....ox.|#.....#......
18 0.8513 |#.#...x.o.....x..#.........o.o.x...
23 0.9781 ..|....o..x.o........x...o..x.......
24 0.9308 o.........|o.......#..xo.xx.........
12 0.9659 ................o..ox.x..x.....o|...
22 0.9377 .o....o.#x....|.o...x......x........
18 0.9591 ..x..o....x|.x...##.#.o.......#o....
21 0.9691 .|.....o#....x#...#..x.x...#.o....o#
19 0.9793 o.x....x.........|.#.o...o.x........
24 0.6308 oo.x...#...........#...x..#x|o......
21 0.9219 .o............x.....#xoo....x..|....
26 0.6225 .o.......x...#x.x.....#oo..#..#|....
22 0.6467 ....o.....x....#.o.|..o..x.x........
17 0.9882 o.......x.x.....o..x...|..o.......#.
31 0.8766 |......xx.......oo.#x..........###.o
20 0.9457 ..#.......o.o.x..o.|..#...x.x.......
22 0.6609 ........x.x..o........xo.o|##.......
18 0.7711 o............xx...#...x.o..|o.......
12 0.9701 ..o.o...ox.....x....x...#......|....
17 0.9915 .oo.x.#x.#x.#.....#.#...#.|.o.#..###
18 0.6132 ..o.#o.#......x#...|..x..x.....#.o#.
19 0.7909 .|.......x....x.o..........ox.o....#
23 0.5222 ........o....|##x.......ox..x.o..#.#
22 0.9883 .|....#x...xo..x#......o........o#..
18 0.9832 .|...o....x..........x.x.....o.....o
22 0.9958 ox.|##o......#.........o..#x.x......
7 0.9933 ...o.#.#..xo.oxx...|...#..#.........
24 0.9582 ...o..o..|........x.........x...xo..
21 0.9147 ......oox.........|..x.o....x.......
12 0.9949 .|.....x#....o.x...#.o#...........xo
12 0.9895 ...ox.ox.........##..|.....x.....o..
17 0.9282 ...o....|...#.x.......x....x......oo
17 0.7719 ...#......|.....x##..x..#.oxo.o.....
15 0.937 ...........o.x|.....o...oxx.........
20 0.9764 .o..|........x.#...o.......x...x..o.
23 0.6663 .....o|.xx..#...o#o...#...x##.....#.
27 0.6272 o...x.|...o...x...........x#o.....#.
19 0.9927 o.x.........o...x...x.......o..|....
21 0.8317 o.#.....x.......#o....x.|o.x........
19 0.9455 .....|...xx..............o.ox.....o.
21 0.8382 .o.x.....oo....x...x.........|......
15 0.9705 .o....#...|..xxo......o.##.x..#.....
15 0.8928 .....#|.x...o.x.o.##..#.....xo#.....
20 0.9154 ..#....x.......#...oo.x..x|...#...o.
22 0.9108 ......o..#x..x........x.#.o.....#|o.
19 0.957 ..#o...x.........o.x..x.......|.o...
21 0.5812 ......x.#...........|..xo.x..o.....o
15 0.9621 |.........xo.......#.o..x..x..o.....
13 0.9971 .....##..|x..#.#.x#.o........o.ox..#
16 0.8929 ..o.xo..#.x..........x....|.o.....#.
15 0.5137 #.....ox.x.#.#|.....#.xo..#.o.#.#..#
20 0.6014 .#........x......#.ox..oo..x..|..#..
15 0.983 ....|.......o....#..xo..#.x.xo......
24 0.4651 ..o..|.o....#.x.#..x....o.x#.#......
20 0.9496 .........x|..#.x........o...o..o.x..
25 0.9754 ........#.xo..x.........o|..x.o.....
19 0.4802 ..#...o.x...x.x......|o........o....
24 0.665 .|....##.x#...x..#......o...o..xo...
18 0.9027 o.o....x.#.#...x..|x....#....#.o....
14 0.8149 ........x.o....x|........o.ox.......
19 0.5593 .####..#...o..x.....ox...##.x.o.|...
16 0.4901 ###..#...|...##.x.o.x.o#......o...x.
23 0.9142 ....oo..............x#ox.x....|##...
15 0.9912 ...###o.x.....x#|..#......ox.#.....o
30 0.636 .o#......xx.#...#.#......x|....o...o
18 0.5916 ...#....#.o.x.x.xo...|.......#o.....
17 0.983 ......##...o....x........xo#..#o.x.|
20 0.6009 ..#...x..x.#.......|..xo...o#.o.....
18 0.5198 .......x.o.#x...##o..#..x.##..o.|.##
9 0.9926 ..........o.....x.o..x.x...|.o......
27 0.8492 ....ooo.x..........x....x....|......
24 0.9883 o..........o....#|x...x........x..o.
15 0.9897 ..o.....xo...........o.....xx..|....
21 0.9467 ....o..x...o....|........ox.x.......
21 0.9933 .....#xx.o........o...#.........x.o|
25 0.5841 ...##..#.##..#o..|..x.oo.xx.......##
20 0.8202 .#....##.ox.....oo..x|...#...x...#..
21 0.6507 ..........#..xox...o|......#xo.....#
20 0.6009 ...#o.|.x...#x.#..o...o.....x.......
16 0.9986 o.....|.#....o....x.x.xo.........#..
18 0.9738 .........x...x.o#o.........x...|.o#.
9 0.9943 ..............o.|x....x....x.o...o..
20 0.7071 ..ox.#....oo..xx.....#.......#.|....
21 0.5908 .#.#.....#.o..#.x..x....x.|...o.#o..
27 0.6171 ......oo.x......#..|..x...x.......o.
20 0.5987 .......oxo#o.x...|#...x.......#.....
14 0.9271 ........|x.o#..xox.#.....#o.......#.
22 0.4783 ...........oxx.........o.....xo.|...
29 0.6128 ....o#....#.o.o.|....x...x..x....#..
20 0.9248 o........o...x....x.|.x......#o.#...
26 0.6824 oo........x.o....|..x..#x#.......#..
18 0.6687 ........o........x....x...x|.o.....o
22 0.599 .|o..o.....x#.o...##.x...#..x...#...
16 0.9495 ......#..o##..x|......#...o.x.ox....
23 0.5791 .....ooox.....xx.....#..|...........
23 0.7233 ..o.|......o....x.#xx.....o.........
21 0.9318 .o......|x.....x.#oo....x...........
27 0.6753 oo.....#.ox.....x..|.....x..........
27 0.9121 ..o|..o..............x.....xx..o....
20 0.9342 ..##o...#.|x...xx.#............o###o
10 0.9962 ..........o...x.x#o...xo..|.....#...
29 0.5224 o#....o..x.#..........x.x...#.o.|##.
17 0.7073 o...|..#.o...x.x....x...o...........
24 0.5151 .#.....x.|...#.x..o...o....ox.......
15 0.9877 ###........x.#|..o..o#..ox.x.##.....
17 0.851 |..#....o..o.#x............xx...o...
22 0.5552 ..x.o.....x........x#oo....|........
21 0.8507 ..o.....o....x.......xo..x...#.....|
21 0.9568 #....#o|....x...x..o##..........xo..
16 0.962 ##..o.o...x..x#......x....o...|.#...
15 0.9687 o.o.......#..xx.............x.....o|
21 0.9542 .....o..x.......o.o#.x......|x......
24 0.9924 .x..o.....xx.....o#..............|o.
27 0.8107 .....ox....o......o.x.....x....|....
16 0.9721 ...o#..x..#|#..x.o.ox..........#....
21 0.6472 ....#o.x#......#.x.ox.#|..#........o
18 0.4442 ...#..ox..#..x.x.....|#....o..#..o..
17 0.9963 ..xo.........x.#.|o.....o...x..##...
18 0.983 .........x.#.#.......o.o..x.|x....o.
17 0.9911 .............x..x.o....oxo.....|....
17 0.9781 #..|xo.........x.........x...o....o.
13 0.9751 .o.......#...#x.x..o..|.##x#....o...
17 0.9931 ..o........|........xo....x...o..x..
26 0.4122 ........x.....x..........x#o.o.|o...
18 0.9578 .......xo..|.o...o....x.....x.......
22 0.9698 ........xx.|..............ox.oo.....
22 0.4819 .#....o...x....|....#x..x......o...o
30 0.5616 #o...oo#.#......x....xx........#...|
15 0.9836 .o......o..........x.x|...x.....o...
22 0.9859 ........x....#x..o....x...oo.....|..
26 0.4695 .o#....o.x...|...........x#xo.......
27 0.9781 ...o|......o..o....x.x...x...#.#....
17 0.8562 ..x..o..o..................xx|.....o
20 0.9561 .x.o.o...x......o....x........#|....
15 0.9959 ..o......x.o|....x.........x.....o..
22 0.9595 ........x.......o.........xxo|.....o
12 0.9994 .....o.....x..o.x.x##...o....|......
23 0.5302 ........x.oo..xx.|.....#.....o......
19 0.9736 .......x..x#...|....o..#..x.o...o...
22 0.4537 .......o..xo.....#x...x.o.....|..#..
17 0.4309 ....#.......#...o..x........x|o#ox..
31 0.5742 ....###...o..#....##x.|o..xx#...o...
15 0.9618 ........#.xo.o#...#x..x..........|#o
18 0.9436 .o......o#.......##..xx|...x....#o#.
35 0.6702 ......x...x.....x.o.....oo......|...
17 0.5713 ...o....x....x.#...o..x..|.o..#.....
26 0.4216 .##.....x.x.......o.......xo...|...o
13 0.9992 ..xoo.#....#..x.x#...#.#........o.|.
18 0.9792 ......x...o....x.......|......o.x.o.
14 0.526 o#.....x.o...|xx.....o#..#.#.....#..
25 0.4707 ...oxo...#...#.|....x....x......o.#.
24 0.4937 o.#|.#..o#.........x.xx....#....#.o.
21 0.9834 .......x......o.|..x..........o..ox.
20 0.9514 ..#.#.|........o..#o..xo#..x.x##....
22 0.4682 o......x.....xo#x.....|..#.#...##..o
9 0.9944 ......o.x.o....xxo...#|..#......#...
14 0.9714 ....#.o.x.....|x....o......ox.#.....
22 0.6127 ..o.....|o................xxx...o...
18 0.9981 ..o...x.x|.#..x....#..o#...##.o#....
20 0.8933 .o.......x..#..x....x....#o.#o|....#
23 0.5087 .#......#.xo..#..xx...#.o....o#..|..
19 0.9668 .....o...x..x..#..o....#..x#..#.|.o#
22 0.4494 #.....ox.....#.x.#.......x#..o.o...|
28 0.5293 ....#.oo|.x.....#.o.x......x........
20 0.3848 ...oo....x...|o....x.x#.............
17 0.4893 .x...o.|.#..#ox.x.#...#...o#.......#
22 0.9883 o........x....xx....|.......o......o
24 0.4817 ##|.####...#.#.#.#.x...o.x....o.o.x.
18 0.9748 .o..x..|......x.....x.#..o.......o..
17 0.9548 .........x....o.x...oox...|.........
19 0.8451 ....o.|..#......x..x..o...x.......o.
24 0.4361 ..ox...#..#....xo....x#.o.......|...
22 0.4632 ..##.#o......#.....#...|..x.x.oo.x..
33 0.5208 ......o.o.x#......|o.xx..#..........
17 0.4503 ......o.ox..##x.x...|.o.............
19 0.6677 .|.......x.x.....oox....#.#.....o...
12 0.981 ..o.....x.x.....|....o.....#x.....o.
12 0.992 ....#|..o....#x...#...x.....o...xo..
18 0.9896 |x..o.##.x......#...x.....#..#o.o...
19 0.9809 |....#...o.......x.xx..o.........o..
20 0.5523 ..#..#...o..#.x|ox...x......#o...#..
18 0.9961 |.......#..x.....o.x.o....x...o.....
26 0.4038 ..o...x...o..x#|....x.#.o..#....#...
